Source Name	Sample Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Host Strain]	Characteristics[Sample Location]	Factor Value[Organism Part]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[Quantity of growth medium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Parameter Value[container]	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[Light Cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age of sample at harvest]	Unit	Term Source REF	Term Accession Number	Parameter Value[Developmental stage at time of sample collection]
VEG03D_OL_Plant_Flt2C_03_S16_L001	VEG03D_OL_Plant_Flt2C_03_S16_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Plant_Flt1D_16_S17_L001	VEG03D_OL_Plant_Flt1D_16_S17_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Plant_Flt2D_16_S18_L001	VEG03D_OL_Plant_Flt2D_16_S18_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Wick_Flt_0303_P_S32_L001	VEG03D_OL_Wick_Flt_0303_P_S32_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	wick	wick	OSD	https://osdr.nasa.gov/	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Root_Flt_0303_P_S33_L001	VEG03D_OL_Root_Flt_0303_P_S33_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	root	root	PO	http://purl.obolibrary.org/obo/PO_0009005	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	29	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49929	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Soil_Flt_0303_1_P_S34_L001	VEG03D_OL_Soil_Flt_0303_1_P_S34_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Soil_Flt_0303_2_P_S35_L001	VEG03D_OL_Soil_Flt_0303_2_P_S35_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Soil_Flt_0303_3_P_S36_L001	VEG03D_OL_Soil_Flt_0303_3_P_S36_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Wick_Flt_0316_P_S46_L001	VEG03D_OL_Wick_Flt_0316_P_S46_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	wick	wick	OSD	https://osdr.nasa.gov/	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Root_Flt_0316_P_S47_L001	VEG03D_OL_Root_Flt_0316_P_S47_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	root	root	PO	http://purl.obolibrary.org/obo/PO_0009005	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	29	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49929	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Soil_Flt_0316_1_P_S48_L001	VEG03D_OL_Soil_Flt_0316_1_P_S48_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Soil_Flt_0316_2_P_S49_L001	VEG03D_OL_Soil_Flt_0316_2_P_S49_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Soil_Flt_0316_3_P_S50_L001	VEG03D_OL_Soil_Flt_0316_3_P_S50_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_Plant_Gnd_B_S23_L001	VEG03D_Plant_Gnd_B_S23_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Ground Control	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_Plant_Gnd_E_S24_L001	VEG03D_Plant_Gnd_E_S24_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Ground Control	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_Plant_Gnd_F_S25_L001	VEG03D_Plant_Gnd_F_S25_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Ground Control	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_Swab_1_S26_L001	VEG03D_Swab_1_S26_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Plant pillow top surface	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_Swab_2_S27_L001	VEG03D_Swab_2_S27_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Plant pillow top surface	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_Swab_3_S28_L001	VEG03D_Swab_3_S28_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Plant pillow top surface	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_Swab_4_S29_L001	VEG03D_Swab_4_S29_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Upper third of bellows	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
