Sample Name	Protocol REF	Parameter Value[Camera Make And Model]	Parameter Value[Focal Length Of Photo]	Unit	Term Source REF	Term Accession Number	Parameter Value[Focal Plane X Resolution]	Unit	Term Source REF	Term Accession Number	Parameter Value[Focal Plane Y Resolution]	Unit	Term Source REF	Term Accession Number	Parameter Value[Date Of Photo Taken]	Image File Dimensions Height Y	Unit	Term Source REF	Term Accession Number	Image File Dimensions Width X	Unit	Term Source REF	Term Accession Number	Raw Data File
A2L1	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 0:14	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Lettuce.jpg
A2L2	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/5/2021 0:14	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Lettuce.jpg
A2L3	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/6/2021 0:14	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Lettuce.jpg
A2L4	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/7/2021 0:14	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Lettuce.jpg
A2L6	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/7/2021 0:14	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Lettuce.jpg
A2P1	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 2:08	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Pepper.jpg
A2P2	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/5/2021 2:08	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Pepper.jpg
A2P3	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/6/2021 2:08	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Pepper.jpg
A2P4	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/7/2021 2:08	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Pepper.jpg
A2P6	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/7/2021 2:08	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Pepper.jpg
